,code,location,notes
43,DECL,Pavilion 1 - Palma Hall,
44,EEEI,UP Diliman Electrical and Electronics Engineering Institute,
45,"Arch, DFSN, DSCM, VC, VC, VSB, ESP, ESP, ESP, VSB, DSD, DSD, VC, OCS, DES, DES, PopIns, PopIns, DChE, DChE, Educ, Educ, PopIns, Stat, PolSci, PolSci, DAS, Psych, DChE, DAS, EEEI, Musico, CSSP, Psych, Psych, SOLAIR, SOLAIR, DMuE, Kas, Kas, Educ, SURP, DAS, Socio, EEEI, EEEI, ICE, ICE, DSS, DSS, CSSP, CSSP, Kas, Engg, Engg, SURP, DECL, DECL, SURP, Socio, Socio, DELPS, ICE, DGeog, DGeog, CS, DECL, CSWCD, Lingg, DELPS, DELPS, DGeog, Lingg, Lingg, DPE, SE, SE, SE, DCS, DCS, DPE, Engg, DPE, DMuE, NCPAG, NCPAG, DAnthro, DAnthro, DCI, DEL, DEL, DCS, CS, DES, CS, DAnthro, SLIS, DEL, CSWCD, CMu, Philo, DCI, DCI, SLIS, SLIS, DMuE, CD, CD, Philo, Philo, NCPAG, DVMT, DMST, DMST, DGE, DGE, WD, DFPP, DFPP, CD, AIT, CSWCD, SSP, DGE, WD, WD, SW, CMu, CMu, SW, AIT, AIT, DFPP, CMC, DMST, SW, SSP, SSP, CTID, DSCTA, DSCTA, DKey, DKey, DKey, DFAVC, DIE/OR, DIE/OR, DCond, NIP, DVMT, DBC, DIE/OR, NIP, NIP, DSCM, DSCTA, DBC, DFAVC, DFAVC, CMC, CMC, DBC, DJourn, DBA, DBA, OCS, OCS, DCRes, DCond, DCond, DCRes, NIGS, DJourn, DCRes, DJourn, OCS, DME, DME, CHK, DComp, DComp, NIGS, NIGS, DSCM, Musico, DBA, DME, DAF, DAF, MSI, OCS, UPDEPP/O, CHK, CHK, UPDEPP/O, UPDEPP/O, DComp, AC, AC, IESM, MSI, MSI, AC, IESM, IESM, HRIM, DMMM, DMMM, Musico, DWP, DWP, CTID, CTID, Arch, DAF, MBBP, DMMM, PolSci, CHE, SA, SA, EgyE, CHE, CHE, DWP, MBBP, MBBP, HRIM, HRIM, DSS, HEED, DFSN, DFSN, EgyE, EgyE, DMO, DMO, DVMT, EEEP, EEEP, Arch, SA, Stat, Stat, MATH, EEEP, DMO, SOLAIR, CAL, CAL, CFA, MATH, MATH, EnE, Theory, Theory, HEED, HEED, FLCD, IB, IB, EnE, EnE, Theory, IC, OCS, CPAGE, CPAGE, CFA, CFA, IB, CAL, FLCD, FLCD, IC, IC, VSB, CPAGE, DSD",UP National College of Public Administration and Governance,CWTS 1 NCPAG
46,"MSI, DSCM, DVMT, DCS, DCS, DKey, DVMT, DVMT, NIGS, NIGS, NIGS, DMMM, DMMM, DMMM, CMC, DKey, DKey, AIT, AIT, NCPAG, SOLAIR, Psych, Psych, SOLAIR, SOLAIR, Psych, AC, AC, AC, CMC, DES, CMC, DAF, DAF, DAF, DSCM, DSCM, DECL, DECL, DECL, DES, Educ, AIT, IB, IB, IB, NIP, NIP, NIP, DSS, DSS, DSS, EnE, EnE, EnE, DBA, DBA, DBA, DME, DCI, Educ, DME, DME, Educ, CMu, CMu, CMu, SSP, SSP, SSP, DCI, DChE, DChE, DChE, Arch, DSCTA, DSCTA, DSCTA, DWP, DWP, DWP, DIE/OR, Engg, DMO, DMO, DGeog, Engg, DIE/OR, DIE/OR, Philo, Philo, SURP, CSSP, CSSP, CSSP, DCS, NCPAG, NCPAG, CS, CS, CS, Philo, DFPP, Stat, Stat, Stat, SE, SE, SE, Socio, Socio, Socio, CD, CD, CD, DFPP, DFPP, DCI, HEED, DFSN, HEED, HEED, DFSN, DFSN, Arch, Arch, Lingg, Lingg, Lingg, DGE, DGE, DEL, DEL, DEL, DCond, DCond, DCond, DJourn, DJourn, DELPS, DGE, VSB, VSB, VSB, CTID, CTID, CTID, SURP, EgyE, EgyE, EgyE, DJourn, ESP, ESP, ESP, CFA, CFA, CFA, FLCD, FLCD, FLCD, DELPS, DELPS, SLIS, SLIS, SURP, HRIM, PopIns, PopIns, PopIns, SLIS, DPE, HRIM, CHE, CHE, CHE, OCS, CPAGE, CPAGE, CPAGE, IC, IC, IC, DComp, DComp, DComp, DSD, DCRes, SW, SW, SW, DSD, DSD, VC, VC, VC, DCRes, DCRes, DFAVC, DFAVC, DFAVC, MATH, MATH, MATH, UPDEPP/O, UPDEPP/O, DMST, DMST, UPDEPP/O, Theory, DMST, Theory, HRIM, DAnthro, IESM, OCS, OCS, Theory, MBBP, MBBP, MBBP, DBC, DAS, DAS, DAS, IESM, IESM, Engg, Kas, Kas, Kas, DBC, DBC, OCS, OCS, OCS, Musico, Musico, Musico, DPE, DGeog, DGeog, DAnthro, CSWCD, CSWCD, CSWCD, ICE, MSI, MSI, EEEP, EEEP, EEEP, DES, DAnthro, EEEI, PolSci, PolSci, PolSci, CHK, DMuE, DMuE, DMuE, EEEI, EEEI, WD, ICE, ICE, WD, WD, CAL, CAL, DMO, CAL, CHK, CHK, SA, SA, SA, DPE",UP College of Human Kinetics,CWTS 1 CHK
47,IC,University of the Philippines Diliman Institute of Chemistry - Teaching Building,
48,MH,University of the Philippines College of Engineering,
49,CDC,UP College of Home Economics Annex Building,
50,"DMMM, DIE/OR, Psych, Psych, Psych, CD, Socio, DSD, ICE, SSP, EnE, IESM, DSD, DSD, DCS, EnE, EnE, EEEI, EEEI, EnE, EEEP, CPAGE, CPAGE, EEEP, EEEP, Philo, EEEP, Philo, Philo, DMMM, Psych, Psych, DSD, DSD, DMMM, Kas, DELPS, Lingg, DIE/OR, CPAGE, CPAGE, EEEI, DME, DGeog, UPDEPP/O, UPDEPP/O, SSP, EEEI, PopIns, PopIns, EEEI, EnE, PopIns, Lingg, DGE, DGE, PopIns, PopIns, Philo, DCS, DCS, UPDEPP/O, CD, CD, DGeog, DGeog, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DME, DGeog, DCS, CPAGE, DGeog, Lingg, SW, Philo, DGE, Socio, Socio, Kas, Kas, SW, SW, EEEP, DELPS, DELPS, DCS, SW, SW, DCI, Kas, DCI, DGE, DIE/OR, DME, DME, PolSci, PolSci, PolSci, PolSci, PolSci, DIE/OR, DELPS, DGE, DELPS, Lingg, DCI, SSP, ICE, DIE/OR, IESM, IESM, UPDEPP/O, UPDEPP/O, DChE, DChE, DChE, DChE, DChE, Lingg, DCI, DCI, IESM, DES, DES, DES, DES, DES, CD, DME, EgyE, EgyE, EgyE, EgyE, EgyE, DMMM, ICE, Kas, ICE, DMMM, WD, WD, WD, WD, WD, ICE, CD, IESM, Socio, Socio, DSS, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, NIP, NIP, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, NIP, NIP, NIP, DBA, DBA, DBA, DBA, DBA, SURP, SURP, SURP, SURP, SURP, DAF, DAF, DAF, DAF, DAF, SA, SA, SA, SA, SA, SE, SE, SE, SE, SE, Theory, Theory, Theory, Theory, Theory, VC, VC, VC, VC, VC, SLIS, SLIS, SLIS, SLIS, SLIS, NIGS, FLCD, FLCD, FLCD, FLCD, FLCD, AIT, AIT, NIGS, NIGS, NIGS, NIGS, HEED, HEED, HEED, HEED, HEED, AIT, AIT, AIT, HRIM, HRIM, HRIM, HRIM, HRIM, DMST, DMST, DMST, DMST, DMST, CTID, CTID, CTID, CTID, CTID, OCS, OCS, OCS, OCS, OCS, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, DFSN, DFSN, DFSN, DFSN, DFSN, DPE, DPE, DPE, DPE, DPE, Engg, Engg, Engg, Engg, Engg, DSS, DSS, DSS, DSS, MSI, MSI, MSI, MSI, MSI, OCS, OCS, OCS, OCS, OCS, Educ, Educ, Educ, Educ, Educ, DJourn, DJourn, DJourn, DJourn, DJourn, DFAVC, DFAVC, DFAVC, DFAVC, DFAVC, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, DBC, DBC, DBC, DBC, DBC, DCRes, DCRes, DCRes, DCRes, DCRes, CSSP, CSSP, CSSP, CSSP, CSSP, DComp, DComp, DComp, DComp, DComp, DCond, DCond, DCond, DCond, DCond, CS, CS, CS, CS, CS, MBBP, MBBP, MBBP, MBBP, MBBP, DMuE, DMuE, DMuE, DMuE, DMuE, DSCM, DSCM, DSCM, DSCM, DSCM, CMu, CMu, CMu, CMu, CMu, Musico, Musico, Musico, Musico, Musico, DKey, DKey, DKey, DKey, DKey, CMC, CMC, CMC, CMC, CMC, DVMT, DVMT, DVMT, DVMT, DVMT, CHK, CHK, CHK, DWP, DWP, DWP, DWP, DWP, CHK, CHK, MATH, MATH, MATH, MATH, MATH, DMO, DMO, DMO, DMO, DMO, CHE, CHE, CHE, CHE, CHE, IB, IB, IB, IB, IB, ESP, ESP, ESP, ESP, ESP, CFA, CFA, CFA, CFA, CFA, VSB, VSB, VSB, VSB, VSB, CAL, CAL, CAL, CAL, CAL, Arch, Arch, Arch, Arch, Arch, AC, AC, AC, AC, AC, SSP, SSP, DAS, DAS, DAS, DAS, DAS, DECL, DECL, DECL, DECL, DECL, Stat, Stat, Stat, Stat, Stat, IC, IC, DEL, DEL, DEL, DEL, DEL, IC, IC, IC, DFPP, DFPP, DFPP, DFPP, DFPP",University of the Philippines College of Social Work and Community Development,CWTS 2 CSWCD
51,ANX,UP College of Music,
52,"CSSP, NIGS, NCPAG, NCPAG, NCPAG, DMuE, DMuE, DECL, SOLAIR, DMuE, SOLAIR, MBBP, DMO, SURP, DFSN, FLCD, AIT, SA, FLCD, SA, DFSN, AC, AC, DComp, DComp, DFAVC, Stat, DComp, DSCTA, IC, IC, NIGS, Stat, DFAVC, DFAVC, DMO, DMO, VSB, VC, VC, DFSN, SA, AC, DFPP, DVMT, DVMT, Stat, NIP, CFA, CFA, CFA, Musico, SLIS, CAL, DWP, DWP, ESP, DFPP, CMu, FLCD, MBBP, CMu, CMu, IB, IB, Educ, Educ, Educ, Musico, DCond, DCond, DCond, DCRes, DCRes, DCRes, NIP, Musico, HRIM, AIT, ESP, DAS, CAL, OCS, SSP, SSP, DWP, MATH, SLIS, NIP, SURP, SLIS, MATH, DJourn, DJourn, DJourn, OCS, OCS, IB, CAL, DFPP, DSCTA, DSCTA, HEED, MBBP, HEED, DMST, MATH, VSB, Arch, SSP, VC, DMST, DMST, CTID, Arch, SE, SE, DSCM, DSS, Arch, DSS, CMC, CMC, IC, CMC, ESP, DPE, SOLAIR, OCS, OCS, OCS, DEL, HEED, DEL, DVMT, AIT, CS, MSI, CS, CS, Theory, DBA, Theory, CSWCD, DKey, DKey, DKey, DBA, CSWCD, CSWCD, DAS, Theory, VSB, DPE, DAS, CTID, DSCM, HRIM, Engg, Engg, Engg, DEL, CTID, DAF, DAF, CHE, DAF, DSCM, SURP, SE, HRIM, DBA, MSI, CHK, CHK, CHK, MSI, CHE, CHE, DPE, NIGS, DECL, DECL, CSSP, DBC, DBC, DBC, CSSP, DSS, DGE, DGE, EEEP, DSD, DSD, DSD, EEEP, EEEP, DELPS, SW, DELPS, DELPS, EnE, EnE, SW, Philo, DAnthro, CD, Philo, Philo, DGeog, UPDEPP/O, DGeog, DGeog, WD, WD, PopIns, PopIns, WD, EnE, DGE, Kas, ICE, ICE, DCS, DCS, DCS, ICE, PopIns, UPDEPP/O, UPDEPP/O, DMMM, DMMM, DMMM, CPAGE, Psych, Psych, Psych, CPAGE, Kas, DES, CPAGE, DES, DES, SW, DIE/OR, DIE/OR, DIE/OR, DChE, Lingg, Lingg, Lingg, IESM, IESM, IESM, DChE, DCI, DME, DME, DME, DCI, DCI, DChE, EgyE, Kas, DAnthro, CD, Socio, Socio, Socio, CD, EgyE, EgyE, PolSci, PolSci, DAnthro, PolSci, EEEI, EEEI, EEEI",UP College of Human Kinetics,CWTS 2 CHK
53,"SW, Lingg, Philo, WD, DCI, DIE/OR, Socio, EEEP, PolSci, CPAGE, IESM, CD, DMMM, EnE, DES, ICE, SSP, DCS, EEEI, Kas, DGE, UPDEPP/O, DGeog, DChE, DSD, DELPS, Psych, DAnthro, DME, EgyE, PopIns, CAL, DCond, DAF, Arch, SLIS, VC, DPE, DSS, Musico, CS, DFPP, SA, NIP, DFAVC, IC, AIT, Engg, SOLAIR, DMO, CTID, DComp, DAS, SURP, DBA, DSCM, DMST, Theory, DMuE, DFSN, CMC, MBBP, MATH, CSSP, CMu, AC, DBC, DKey, CFA, DECL, DSCTA, IB, NIGS, SE, ESP, OCS, CHE, HRIM, NCPAG, FLCD, DVMT, CSWCD, Stat, CHK, DEL, OCS, DWP, MSI, Educ, HEED, DCRes, VSB, DJourn",UP School of Economics,CWTS 2 SE
54,"CHK, CHK, CHK, CHK, DMO, DMO, DMO, DMO, DWP, DWP, DWP, DWP, CMC, CMC, CMC, CMC, DVMT, DVMT, DVMT, DVMT, HEED, DKey, DKey, DKey, HEED, DKey, FLCD, FLCD, CMu, CMu, CMu, CMu, SOLAIR, Musico, Musico, Musico, Musico, DSCM, DSCM, DSCM, DSCM, DFPP, DFPP, DFPP, DFPP, CS, CS, CS, CS, SOLAIR, SOLAIR, SOLAIR, HEED, DMuE, DMuE, DMuE, DMuE, OCS, OCS, OCS, DCond, DCond, DCond, DCond, CTID, MBBP, CSSP, CSSP, CSSP, CSSP, CAL, CAL, MBBP, DComp, DComp, DComp, DComp, CAL, CAL, HEED, MSI, MBBP, MBBP, MSI, SA, SA, MSI, MSI, Stat, DCRes, DCRes, DCRes, DCRes, Stat, SA, SA, Stat, Stat, CSWCD, CSWCD, CSWCD, CSWCD, DBC, DBC, DBC, DBC, DFAVC, DFAVC, DFAVC, DFAVC, Educ, Educ, Educ, Educ, DBA, DBA, DBA, DBA, DJourn, DJourn, DJourn, DJourn, SSP, SSP, SSP, SSP, OCS, OCS, OCS, OCS, Engg, Engg, Engg, Engg, Arch, Arch, FLCD, FLCD, Arch, DSS, DSS, DSS, DSS, Arch, CTID, SE, SE, SE, SE, DPE, DPE, DPE, DPE, NCPAG, NCPAG, NCPAG, NCPAG, CTID, VC, NIGS, NIGS, NIGS, HRIM, HRIM, DFSN, DFSN, DFSN, HRIM, DEL, DEL, DFSN, NIGS, DEL, DEL, AC, AC, AC, HRIM, AC, DAF, DAF, VC, DAF, DAF, VC, DECL, DECL, DECL, DECL, Theory, VC, Theory, Theory, CTID, Theory, DAS, DAS, DAS, DAS, AIT, AIT, NIP, OCS, DMST, DMST, DMST, DMST, NIP, NIP, NIP, SLIS, SLIS, SLIS, SLIS, DSCTA, CFA, CFA, CFA, CFA, MATH, MATH, MATH, IC, IC, IC, DSCTA, DSCTA, DSCTA, MATH, SURP, SURP, SURP, SURP, IC, AIT, AIT, ESP, ESP, CHE, CHE, CHE, CHE, ESP, ESP, IB, IB, IB, IB, VSB, VSB, VSB, VSB, DChE, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, IESM, IESM, IESM, IESM, Socio, Socio, Socio, EgyE, EgyE, EgyE, EgyE, Socio, EnE, EnE, EnE, EnE, DSD, DSD, DSD, DSD, CPAGE, CPAGE, CPAGE, CPAGE, EEEP, EEEP, EEEP, EEEP, DMMM, DMMM, DMMM, DMMM, DME, DME, DME, DME, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DGE, DGE, DGE, DGE, DCS, DCS, DCS, DCS, ICE, ICE, ICE, ICE, DChE, DChE, DChE, Lingg, Lingg, Lingg, DES, DES, DES, DES, Lingg, EEEI, EEEI, EEEI, EEEI, DELPS, DELPS, DELPS, DELPS, DCI, DCI, DCI, DCI, WD, WD, WD, WD, SW, SW, SW, SW, CD, CD, CD, CD, DAnthro, DAnthro, DAnthro, DAnthro, DGeog, DGeog, DGeog, DGeog, Kas, Kas, Kas, Kas, Philo, Philo, Philo, PopIns, PopIns, PopIns, PopIns, Philo, PolSci, PolSci, PolSci, PolSci, Psych, Psych, Psych, Psych",UP College of Fine Arts,CWTS 2 CFA
55,DChE,University of the Philippines College of Engineering,
56,ChE Lab,"Department of Chemical Engineering, University of the Philippines Diliman",
57,P&G,University of the Philippines College of Engineering,
58,Stud Activity Ctr,University of the Philippines College of Mass Communication,
59,OCS,University of the Philippines College of Mass Communication,
60,A 101,University of the Philippines College of Mass Communication,
61,Comm,University of the Philippines College of Mass Communication,
62,"GRADUATE, DCRes",University of the Philippines College of Mass Communication,
63,PStar1,University of the Philippines College of Mass Communication,
64,A 104,University of the Philippines College of Mass Communication,
65,VC,UP College of Fine Arts,
66,SE,UP School of Economics,
67,"DSP-Engg, Stat-BGC, DSP-CS, Stat",BGC,"graduate seminars, assumed in stat-bgc"
68,"Stat, Stat-BGC, DSP-Engg, DSP-CS",BGC,"graduate seminars, assumed in stat-bgc"
69,CSRC,Computational Science Research Center,
70,"DSP-Engg, Stat, DSP-CS, Stat-BGC",BGC,"graduate seminars, assumed in stat-bgc"
71,PopIns,"University of the Philippines, College of Social Sciences and Philosophy",
72,"DCI, DELPS",UP College of Education,
73,DELPS,UP College of Education,
74,ED,UP College of Education,
75,Online,Online,
76,DCI,UP College of Education,
77,"DELPS, DCI",UP College of Education,
78,DEL,College of Arts and Letters,
79,MMM,"Department of Mining, Metallurgical and Materials Engineering (UP DMMME)",
80,DMMM,"Department of Mining, Metallurgical and Materials Engineering (UP DMMME)",
81,DES,University of the Philippines College of Engineering,
82,"SE, SE",UP School of Economics,
83,"EEEP, EgyE",University of the Philippines College of Engineering,
84,"EgyE, EEEP",University of the Philippines College of Engineering,
85,BE-AVR,UP Diliman Institute of Civil Engineering (UP-ICE),
86,"EEEP, EnE",University of the Philippines College of Engineering,
87,IE-ME,Industrial Engineering â€“ Mechanical Engineering Building,
88,IEME,Industrial Engineering â€“ Mechanical Engineering Building,
89,IESM,Institute of Environmental Science and Meteorology,
90,"VC, SA",UP College of Fine Arts,
91,"SA, VC",UP College of Fine Arts,
92,Theory,UP College of Fine Arts,
93,FA,UP College of Fine Arts,
94,FLCD,UP Child Development Center,
95,ALON,UP College of Home Economics Annex Building,
96,DFSN,Alonso Hall,
97,IDS,UP College of Home Economics Annex Building,
98,FNL,Alonso Hall,
99,PFP,Alonso Hall,
100,PFP;,Alonso Hall,
101,DFPP,College of Arts and Letters,
102,DFAVC,UP College of Fine Arts,
103,Film,UP College of Fine Arts,under DFAVC other Film so put in Fine Arts
104,"GRADUATE, DFAVC",UP College of Fine Arts,
105,DGE,UP Department of Geodetics Engineering,
106,CIS,University of the Philippines Center for International Studies,
107,PAV2,Pavilion 1 - Palma Hall,
108,NIGS,National Institute of Geological Sciences,
109,"DEL, DEL",Pavilion 1 - Palma Hall,
110,HEED,UP College of Home Economics,
111,CHK-GSP,UP College of Human Kinetics,
112,HRIM,UP College of Home Economics Annex Building,
113,AVR,"University of the Philippines, College of Social Sciences and Philosophy",
114,PolSci,"University of the Philippines, College of Social Sciences and Philosophy",
115,DIE/OR,Industrial Engineering â€“ Mechanical Engineering Building,
116,IE,Industrial Engineering â€“ Mechanical Engineering Building,
117,IIS,UP Institute of Islamic Studies,
118,RM,University of the Philippines College of Mass Communication,
119,ADBOARD,University of the Philippines College of Mass Communication,
120,PStar1;,University of the Philippines College of Mass Communication,
121,PStar2,University of the Philippines College of Mass Communication,
122,J,University of the Philippines College of Mass Communication,
123,"Pav 2, Bahaginan",Pavilion 1 - Palma Hall,
124,"Pav 2, Balatik",Pavilion 1 - Palma Hall,
125,Kas,Pavilion 1 - Palma Hall,
126,Lingg,"University of the Philippines, College of Social Sciences and Philosophy",
127,LAW,UP College of Law,
128,Law,UP College of Law,
129,"SLIS, SLIS",UP SOLAIR,UP School of Library and Information Studies
130,"Philo, Philo, Philo, CSSP, Educ, Educ, DGeog, DGeog, PopIns, PopIns, PopIns, DELPS, DELPS, DCI, Lingg, Lingg, Lingg, NIGS, NIGS, NIGS, MATH, MATH, MATH, IB, DCI, DCI, DAnthro, PolSci, PolSci, PolSci, DFPP, DFPP, DFPP, DAS, DAS, Socio, Socio, Socio, IB, IB, CSSP, CSSP, DSCTA, DSCTA, DSCTA, DAS, DELPS, DAnthro, DGeog, Kas, Kas, Kas, DAnthro, GRADUATE, GRADUATE, GRADUATE, Psych, Psych, Psych, AIT, AIT, AIT, Educ",UP College of Education,LTS 2 Educ
131,"Law, Law",UP College of Law,
132,NIMBB,National Institute of Molecular Biology and Biotechnology,
133,MBBP,National Institute of Molecular Biology and Biotechnology,
134,ME,UP Department of Mechanical Engineering,
135,DME,UP Department of Mechanical Engineering,
136,MSI,UP Marine Science Institute,
137,MSI-MBRIS,UP Marine Science Institute,
138,"DMMM, MSEP-CS","Department of Mining, Metallurgical and Materials Engineering (UP DMMME)",
139,"MSEP-CS, DMMM","Department of Mining, Metallurgical and Materials Engineering (UP DMMME)",
140,MBAN,Institute of Mathematics,
141,MB,Institute of Mathematics,
142,MATH,Institute of Mathematics,
143,Media,University of the Philippines College of Mass Communication,
144,DCond,UP College of Music,
145,"DCond, CMuGP",UP College of Music,
146,DVMT,UP College of Music,
147,AH,UP College of Music,
148,DMuE,UP College of Music,
149,"CMuGP, DMuE",UP College of Music,
150,DComp,UP College of Music,
151,"Musico, DCond, CMuGP, DKey, DSCM",UP College of Music,
152,"CMuGP, DSCM, DCond, Musico, DKey",UP College of Music,
153,"DSCM, DKey, DCond, CMuGP, Musico",UP College of Music,
154,"Musico, CMuGP",UP College of Music,
155,"CMuGP, Musico",UP College of Music,
156,"Musico, DVMT, DSCM, DWP, DKey",UP College of Music,
157,"DWP, DKey, Musico, DVMT, DSCM",UP College of Music,
158,"DWP, DSCM, Musico, DKey, DVMT",UP College of Music,
159,"DWP, Musico, DSCM, DKey, DVMT",UP College of Music,
160,"DWP, DVMT, DKey, DSCM, Musico",UP College of Music,
161,"DWP, DKey, DSCM, DVMT, Musico",UP College of Music,
162,"Musico, DVMT, DKey, DWP, DSCM",UP College of Music,
163,"Musico, DKey, DVMT, DWP, DComp, DSCM, DCond",UP College of Music,
164,"DWP, DCond, Musico, DSCM, DVMT, DKey, DComp",UP College of Music,
165,"DKey, DComp, DSCM, DCond, Musico, DWP, DVMT",UP College of Music,
166,"DKey, Musico, DSCM, CMuGP",UP College of Music,
167,"Musico, CMuGP, DWP, DVMT, DKey, DSCM, DCond",UP College of Music,
168,"CMuGP, Musico, DWP, DCond, DVMT, DKey, DSCM",UP College of Music,
169,"DKey, CMuGP, DVMT",UP College of Music,
170,"Musico, DSCM, DWP, DKey, DVMT, DCond, DComp, CMuGP",UP College of Music,
171,"DVMT, CMuGP, DKey, Musico, DCond, DComp",UP College of Music,
172,"DSCM, CMuGP, DCond, DKey, DComp, DVMT, Musico",UP College of Music,
173,"DVMT, DKey, DCond, CMuGP",UP College of Music,
174,"CMuGP, DKey, DCond, DVMT",UP College of Music,
175,"DVMT, DKey, CMuGP, DCond",UP College of Music,
176,"DCond, DVMT, DKey, CMuGP",UP College of Music,
177,"DCond, DKey, CMuGP, DSCM, DVMT, Musico",UP College of Music,
178,"DCond, DKey, DSCM, Musico, CMuGP, DVMT",UP College of Music,
179,"CMuGP, Musico, DCond, DSCM, DKey, DVMT",UP College of Music,
180,"DSCM, DWP, Musico, DCond",UP College of Music,
181,"DWP, DCond, DSCM, Musico",UP College of Music,
182,"DSCM, DCond, DWP, Musico",UP College of Music,
183,"DSCM, DWP, DCond",UP College of Music,
184,"DWP, DKey, DSCM, DVMT",UP College of Music,
185,"DVMT, DWP, DKey, DSCM",UP College of Music,
186,"DSCM, DKey, DWP, DVMT",UP College of Music,
187,"DVMT, DWP, DSCM, DKey",UP College of Music,
188,"DSCM, DVMT, DWP, DKey",UP College of Music,
189,DKey,UP College of Music,
190,"DKey, CMuGP",UP College of Music,
191,"DKey, DComp, DCond",UP College of Music,
192,"DCond, DKey, DComp",UP College of Music,
193,"CMuGP, DComp, Musico",UP College of Music,
194,"DCond, DComp, CMuGP",UP College of Music,
195,CMuGP,UP College of Music,
196,CPAGE,UP National College of Public Administration and Governance,
197,DPE,UP College of Human Kinetics,
198,LH,Alfredo V. Lagmay Hall,
199,DPS,"University of the Philippines, College of Social Sciences and Philosophy",
200,"AC, PSP",GT-Toyota Asian Center,
201,"PSP, AC",GT-Toyota Asian Center,
202,DSCTA,Pavilion 1 - Palma Hall,
203,SURP,UP School of Urban and Regional Planning,
204,PPL,Alfredo V. Lagmay Hall,
205,DMST,UP Vanguard Building,
206,DSD,University of the Philippines College of Social Work and Community Development,
207,SA,UP College of Fine Arts,
208,DSS,UP College of Human Kinetics,
209,Kalasag DMST,UP Vanguard Building,
210,SW,University of the Philippines College of Social Work and Community Development,
211,"Socio, PolSci, DAnthro","University of the Philippines, College of Social Sciences and Philosophy",
212,"Socio, PolSci, PolSci, Socio","University of the Philippines, College of Social Sciences and Philosophy",
213,SOCIO,University of the Philippines-Diliman Department of Sociology,
214,UG,Bulwagang Silangang Palma,
215,Socio,"University of the Philippines, College of Social Sciences and Philosophy",defaulted to palma hall
216,SS,UP School of Statistics New Building,
217,BGC,BGC,
218,Stat,UP School of Statistics New Building,
219,TMC,Technology Management Center - University of the Philippines,
220,THY,Pavilion 1 - Palma Hall,
221,AIT,UP Asian Institute Of Tourism,
222,WD,University of the Philippines College of Social Work and Community Development,
